file,shape,n1,n2,ratio,1/ratio,area_n1,area_n2,area_ratio,per_n1,per_n2,per_ratio
circle__4_greaterthan_2_7_area_S1.png, circle,2,7,0.29,3.5,13824,13824,1,563,1078,0.52
circle__4_greaterthan_2_7_area_S2.png, circle,2,7,0.29,3.5,13824,13824,1,563,1078,0.52
circle__4_greaterthan_2_8_area_S1.png, circle,2,8,0.25,4,13824,13824,1,574,1118,0.51
circle__4_greaterthan_2_8_area_S2.png, circle,2,8,0.25,4,13824,13824,1,574,1118,0.51
circle__4_greaterthan_2_9_area_S1.png, circle,2,9,0.22,4.5,13824,13824,1,540,1188,0.45
circle__4_greaterthan_2_9_area_S2.png, circle,2,9,0.22,4.5,13824,13824,1,540,1188,0.45
circle__4_lessthan_3_1_area_S1.png, circle,3,1,3,0.33,13824,13824,1,697,416,1.68
circle__4_lessthan_3_1_area_S2.png, circle,3,1,3,0.33,13824,13824,1,697,416,1.68
circle__4_lessthan_3_2_area_S1.png, circle,3,2,1.5,0.67,13824,13824,1,703,578,1.22
circle__4_lessthan_3_2_area_S2.png, circle,3,2,1.5,0.67,13824,13824,1,703,578,1.22
circle__4_equal_3_3_area_S1.png, circle,3,3,1,1,13824,13824,1,697,705,0.99
circle__4_equal_3_3_area_S2.png, circle,3,3,1,1,13824,13824,1,697,705,0.99
circle__4_greaterthan_3_4_area_S1.png, circle,3,4,0.75,1.33,13824,13824,1,693,809,0.86
circle__4_greaterthan_3_4_area_S2.png, circle,3,4,0.75,1.33,13824,13824,1,693,809,0.86
circle__4_greaterthan_3_5_area_S1.png, circle,3,5,0.6,1.67,13824,13824,1,694,887,0.78
circle__4_greaterthan_3_5_area_S2.png, circle,3,5,0.6,1.67,13824,13824,1,694,887,0.78
circle__4_greaterthan_3_6_area_S1.png, circle,3,6,0.5,2,13824,13824,1,706,977,0.72
circle__4_greaterthan_3_6_area_S2.png, circle,3,6,0.5,2,13824,13824,1,706,977,0.72
circle__4_greaterthan_3_7_area_S1.png, circle,3,7,0.43,2.33,13824,13824,1,679,1070,0.63
circle__4_greaterthan_3_7_area_S2.png, circle,3,7,0.43,2.33,13824,13824,1,679,1070,0.63
circle__4_greaterthan_3_8_area_S1.png, circle,3,8,0.38,2.67,13824,13824,1,701,1143,0.61
circle__4_greaterthan_3_8_area_S2.png, circle,3,8,0.38,2.67,13824,13824,1,701,1143,0.61
circle__4_greaterthan_3_9_area_S1.png, circle,3,9,0.33,3,13824,13824,1,700,1183,0.59
circle__4_greaterthan_3_9_area_S2.png, circle,3,9,0.33,3,13824,13824,1,700,1183,0.59
circle__4_lessthan_4_1_area_S1.png, circle,4,1,4,0.25,13824,13824,1,802,416,1.93
circle__4_lessthan_4_1_area_S2.png, circle,4,1,4,0.25,13824,13824,1,802,416,1.93
circle__4_lessthan_4_2_area_S1.png, circle,4,2,2,0.5,13824,13824,1,804,581,1.38
